soldPrice_category, ,# of Sales,avg soldPrice,median soldPrice
.5-.75 M,2019 Q1,1715.0,602158.2694985423,595000.0
.5-.75 M,2020 Q1,2232.0,617380.8875448029,612000.0
.5-.75 M,19 vs 20,30.1%,2.5%,2.9%
.75-2 M,2019 Q1,633,1011449.2480252765,905200.0
.75-2 M,2020 Q1,1111,986562.3469666967,897000.0
.75-2 M,19 vs 20,75.5%,-2.5%,-0.9%
< .5 M,2019 Q1,1351,425550.5336787565,435000.0
< .5 M,2020 Q1,758,438234.8443403694,448650.0
< .5 M,19 vs 20,-43.9%,3.0%,3.1%
> 2 M,2019 Q1,24,2660666.6666666665,2396500.0
> 2 M,2020 Q1,45,3327895.3333333335,2760000.0
> 2 M,19 vs 20,87.5%,25.1%,15.2%
